@T,table,,,
Created,7/20/17 10:01,,,
Author,HortonMachine library,,,
@H,timestamp,value_42,,
ID,,42,,
Type,Date,Double,,
Format,yyyy-MM-dd HH:mm,,,
,1994-07-09 00:00,0.074092613,0.160496704,2.166163375
,1994-07-10 00:00,0.002098149,0,0
,1994-07-11 00:00,6.07E-05,0,0
,1994-07-12 00:00,0.004667039,0.049201872,10.54241799
,1994-07-13 00:00,1.124321339,12.87633257,11.45253775
,1994-07-14 00:00,0.027099691,0.064466029,2.378847378
,1994-07-15 00:00,0.104225063,1.192660925,11.44312985
,1994-07-16 00:00,0.001856532,0,0
,1994-07-17 00:00,0.187466964,2.591919889,13.8260088
,1994-07-18 00:00,0.007843824,0.049494564,6.310004034
,1994-07-19 00:00,0.752151752,8.402386858,11.17113246
,1994-07-20 00:00,14.53337204,72.88719577,5.015160664
,1994-07-21 00:00,9.243035024,26.53644915,2.870967067
,1994-07-22 00:00,1.384499151,0,0
,1994-07-23 00:00,0.030043285,0,0
,1994-07-24 00:00,0.002031287,0,0
,1994-07-25 00:00,3.48E-05,0,0
,1994-07-26 00:00,6.06E-07,0,0
,1994-07-27 00:00,1.10E-08,0,0
,1994-07-28 00:00,0.008554222,0.098686025,11.5365289
,1994-07-29 00:00,1.59E-04,0,0
,1994-07-30 00:00,3.05E-06,0,0
,1994-07-31 00:00,5.99E-08,0,0
,1994-08-01 00:00,0.155177038,1.777604386,11.45533132
,1994-08-02 00:00,0.042843021,0.45202967,10.55083564
,1994-08-03 00:00,0.00114114,0,0
,1994-08-04 00:00,2.18E-05,0,0
,1994-08-05 00:00,4.29E-07,0,0
,1994-08-06 00:00,2.212278767,17.70697131,8.003951208
,1994-08-07 00:00,0.205117455,1.58105124,7.708028755
,1994-08-08 00:00,3.082508357,21.1989907,6.877188394
,1994-08-09 00:00,0.123476612,0,0
,1994-08-10 00:00,0.136534206,1.455479686,10.66018344
,1994-08-11 00:00,0.009407208,0.064640576,6.871388242
,1994-08-12 00:00,2.55E-04,0,0
,1994-08-13 00:00,4.69E-04,0,0
,1994-08-14 00:00,1.36E-05,0,0
,1994-08-15 00:00,4.01E-07,0,0
,1994-08-16 00:00,1.19E-08,0,0
,1994-08-17 00:00,0.006273439,0.064261304,10.24339328
,1994-08-18 00:00,0.004991141,0.049185681,9.854595823
,1994-08-19 00:00,1.69E-04,0,0
,1994-08-20 00:00,5.73E-06,0,0
,1994-08-21 00:00,1.91E-07,0,0
,1994-08-22 00:00,6.38E-09,0,0
,1994-08-23 00:00,0.348083988,3.470965302,9.971631613
,1994-08-24 00:00,0.527176861,5.300140562,10.05381867
,1994-08-25 00:00,2.217837325,15.19575881,6.851611091
,1994-08-26 00:00,0.095249617,0,0
,1994-08-27 00:00,0.003029369,0,0
,1994-08-28 00:00,9.83E-05,0,0
,1994-08-29 00:00,3.32E-06,0,0
,1994-08-30 00:00,1.21E-07,0,0
,1994-08-31 00:00,3.114690625,19.51670517,6.266017247
,1994-09-01 00:00,1.414353767,6.93916636,4.906245187
,1994-09-02 00:00,12.82651129,60.69877296,4.732290142
