"X...","date","k"
-999,1997-06-14,595.065433399265
-999,1997-06-15,593.628515201069
-999,1997-06-16,594.047488215464
-999,1997-06-17,594.374406592214
-999,1997-06-18,595.961190108553
-999,1997-06-19,598.725138467989
-999,1997-06-20,595.825020294608
-999,1997-06-21,595.885640077809
-999,1997-06-22,596.624802993267
-999,1997-06-23,595.732900925466
-999,1997-06-24,596.864835320326
-999,1997-06-25,596.357180651534
-999,1997-06-26,597.339252318917
-999,1997-06-27,597.06015871347
-999,1997-06-28,594.125347252665
-999,1997-06-29,593.608599572383
-999,1997-06-30,593.601380461347
-999,1997-07-01,595.204567551217
-999,1997-07-02,593.992014261582
-999,1997-07-03,592.955892677157
-999,1997-07-04,591.332299694961
-999,1997-07-05,593.766287032959
-999,1997-07-06,589.988157602957
-999,1997-07-07,589.824893662989
-999,1997-07-08,587.626931170277
-999,1997-07-09,586.764549219022
-999,1997-07-10,589.289998923086
-999,1997-07-11,669.991182878157
-999,1997-07-12,584.851462798317
-999,1997-07-13,582.771851037016
-999,1997-07-14,555.430005797315
-999,1997-07-15,555.874997063927
-999,1997-07-16,567.467602890375
-999,1997-07-17,881.167080064394
-999,1997-07-18,630.752530345289
-999,1997-07-19,626.996568738677
-999,1997-07-20,625.937692742651
-999,1997-07-21,547.537743136024
-999,1997-07-22,607.952925815215
-999,1997-07-23,606.204698045685
-999,1997-07-24,604.628474901674
-999,1997-07-25,602.819465736814
-999,1997-07-26,601.28126783583
-999,1997-07-27,599.198224638642
-999,1997-07-28,597.017114224212
-999,1997-07-29,596.956549113737
-999,1997-07-30,593.637484968521
-999,1997-07-31,591.40626540897
-999,1997-08-01,595.837919169707
-999,1997-08-02,592.152768673507
-999,1997-08-03,589.040762217906
-999,1997-08-04,585.856230302427
-999,1997-08-05,584.168104263277
-999,1997-08-06,583.379946629269
-999,1997-08-07,581.47663774799
-999,1997-08-08,578.025928004091
-999,1997-08-09,575.17297551379
-999,1997-08-10,573.112241210826
-999,1997-08-11,570.922857707231
-999,1997-08-12,568.065470234341
-999,1997-08-13,565.217233618751
-999,1997-08-14,561.967041181703
-999,1997-08-15,559.027877418705
-999,1997-08-16,557.491320539409
-999,1997-08-17,558.642868204734
-999,1997-08-18,554.377747566397
-999,1997-08-19,549.861979329109
-999,1997-08-20,547.097982110217
-999,1997-08-21,545.091914350542
