"X.." 00:00,"date" 00:00,"k"
,1997-08-25 00:00,0
,1997-08-26 00:00,0.0294322973412452
,1997-08-27 00:00,0.877822360884226
,1997-08-28 00:00,6.55014309857105
,1997-08-29 00:00,0.211496788541237
,1997-08-30 00:00,0
,1997-08-31 00:00,0
,1997-09-01 00:00,0.0296636931450709
,1997-09-02 00:00,0
,1997-09-03 00:00,0
,1997-09-04 00:00,0.0295152878168733
,1997-09-05 00:00,0
,1997-09-06 00:00,0
,1997-09-07 00:00,0.109541255068316
,1997-09-08 00:00,0.538698042331216
,1997-09-09 00:00,0.0567855589635679
,1997-09-10 00:00,0.0295099670499695
,1997-09-11 00:00,0.0294361751836208
,1997-09-12 00:00,0
,1997-09-13 00:00,22.2915981183034
,1997-09-14 00:00,1.35549770625826
,1997-09-15 00:00,0
,1997-09-16 00:00,0.0558188579040028
,1997-09-17 00:00,0
,1997-09-18 00:00,0
,1997-09-19 00:00,0.0290450213820979
,1997-09-20 00:00,0
,1997-09-21 00:00,0
,1997-09-22 00:00,0
,1997-09-23 00:00,0.0288391799370848
,1997-09-24 00:00,0
,1997-09-25 00:00,0
,1997-09-26 00:00,0
,1997-09-27 00:00,0
,1997-09-28 00:00,0.028884309261907
,1997-09-29 00:00,0
,1997-09-30 00:00,0.0296085122403206
,1997-10-01 00:00,0
,1997-10-02 00:00,0.0273192407283538
,1997-10-03 00:00,0
,1997-10-04 00:00,0
,1997-10-05 00:00,0.0287089481402157
,1997-10-06 00:00,0.167559511368315
,1997-10-07 00:00,21.0272335860618
,1997-10-08 00:00,0.762104751226414
,1997-10-09 00:00,0
,1997-10-10 00:00,0
,1997-10-11 00:00,0.0295448473574832
,1997-10-12 00:00,0
,1997-10-13 00:00,2.75394138489993
,1997-10-14 00:00,1.09534467624753
,1997-10-15 00:00,0
,1997-10-16 00:00,0
,1997-10-17 00:00,0
,1997-10-18 00:00,0
,1997-10-19 00:00,0
,1997-10-20 00:00,0
,1997-10-21 00:00,0.0803645137965376
,1997-10-22 00:00,2.13322869836333
,1997-10-23 00:00,0
,1997-10-24 00:00,0
,1997-10-25 00:00,0
,1997-10-26 00:00,0
,1997-10-27 00:00,0
,1997-10-28 00:00,0
,1997-10-29 00:00,0
,1997-10-30 00:00,0
,1997-10-31 00:00,0
,1997-11-01 00:00,0
,1997-11-02 00:00,0
,1997-11-03 00:00,0
,1997-11-04 00:00,0
,1997-11-05 00:00,13.0600143175573
,1997-11-06 00:00,52.8756508262659
,1997-11-07 00:00,53.6307632613469
,1997-11-08 00:00,1.66397950232397
,1997-11-09 00:00,30.0545638080424
,1997-11-10 00:00,1.33726688322166
,1997-11-11 00:00,19.8015817942541
,1997-11-12 00:00,84.3964159215389
,1997-11-13 00:00,0
,1997-11-14 00:00,0
,1997-11-15 00:00,0
,1997-11-16 00:00,0
,1997-11-17 00:00,0
,1997-11-18 00:00,0
,1997-11-19 00:00,0
,1997-11-20 00:00,0
,1997-11-21 00:00,0
,1997-11-22 00:00,0
,1997-11-23 00:00,0
,1997-11-24 00:00,0
,1997-11-25 00:00,0.978497283200229
,1997-11-26 00:00,0.454113298284314
,1997-11-27 00:00,0
,1997-11-28 00:00,0
,1997-11-29 00:00,3.26982569417894
,1997-11-30 00:00,4.9650913215499
,1997-12-01 00:00,1.0828609681238
,1997-12-02 00:00,7.25182948349677
,1997-12-03 00:00,0.672373989021265
,1997-12-04 00:00,0
,1997-12-05 00:00,0
,1997-12-06 00:00,0
,1997-12-07 00:00,0
,1997-12-08 00:00,0
,1997-12-09 00:00,0
,1997-12-10 00:00,0
,1997-12-11 00:00,0
,1997-12-12 00:00,0.0469825694032324
,1997-12-13 00:00,0
,1997-12-14 00:00,0
,1997-12-15 00:00,0
,1997-12-16 00:00,0
,1997-12-17 00:00,0
,1997-12-18 00:00,7.39210518792997
,1997-12-19 00:00,34.8463143363944
,1997-12-20 00:00,96.7087099291324
,1997-12-21 00:00,0.397110029950528
,1997-12-22 00:00,0.122574098441189
,1997-12-23 00:00,0
,1997-12-24 00:00,0
,1997-12-25 00:00,0
,1997-12-26 00:00,4.47935478543945
,1997-12-27 00:00,0
,1997-12-28 00:00,0
,1997-12-29 00:00,0
,1997-12-30 00:00,0
,1997-12-31 00:00,0
